,Node_Point,Supercharger_Coords,Distance
48,"(34.932026, -119.409737)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",56.09129007342985
49,"(34.929981, -119.408852)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",55.851477949971304
50,"(34.927174, -119.411827)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",55.61781804095275
51,"(34.919136, -119.412163)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",54.76338417753299
52,"(34.916664, -119.409317)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",54.431780644350994
53,"(34.915859, -119.402901)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",54.19925001239906
54,"(34.914776, -119.399261)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",54.002318620620365
55,"(34.905575, -119.387337)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",52.757147346831445
56,"(34.900864, -119.367767)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",51.87323441330867
57,"(34.88937, -119.355507)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",50.41318147435867
58,"(34.881153, -119.353073)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",49.47669687120197
59,"(34.879467, -119.344131)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",49.1556334550411
60,"(34.873566, -119.340363)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",48.45503340630031
61,"(34.869694, -119.324982)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.83175071840213
62,"(34.867489, -119.319649)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.529364295909915
63,"(34.868286, -119.313293)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.5525491948544
64,"(34.870388, -119.310837)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.761487392364835
65,"(34.869946, -119.295837)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.59515646280765
66,"(34.874424, -119.288727)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",48.04919524240207
